station id, station name, valid,oblačnost [%]
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-02,27
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-03,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-04,43
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-05,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-06,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-07,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-08,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-09,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-10,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-11,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-12,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-13,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-14,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-15,60
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-16,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-17,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-18,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-19,7
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-20,7
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-21,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-22,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-23,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-24,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-25,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-26,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-27,80
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-28,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-29,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-30,60
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-31,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-01,50
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-02,50
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-03,17
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-04,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-05,17
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-06,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-07,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-08,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-09,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-10,27
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-11,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-12,60
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-13,80
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-14,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-15,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-16,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-17,3
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-18,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-19,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-20,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-21,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-22,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-23,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-24,43
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-25,50
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-26,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-27,80
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-28,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-29,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-30,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-08-31,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-01,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-02,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-03,33
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-04,50
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-05,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-06,13
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-07,33
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-08,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-09,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-10,60
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-11,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-12,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-13,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-14,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-15,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-16,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-17,77
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-18,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-19,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-20,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-21,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-22,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-23,27
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-24,80
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-25,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-26,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-27,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-28,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-29,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-09-30,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-01,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-02,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-03,43
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-04,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-05,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-06,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-07,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-08,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-09,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-10,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-11,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-12,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-13,77
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-14,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-15,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-16,13
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-17,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-18,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-19,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-20,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-21,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-22,80
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-23,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-24,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-25,77
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-26,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-27,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-28,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-29,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-30,33
_3049,Letališče Jožeta Pučnika Ljubljana,2022-10-31,33
