station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 07:20,17.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 07:30,18.1,0,179
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 07:40,19.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 07:50,19.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 08:00,19.9,0,458
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 08:10,20,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 08:20,20.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 08:30,20.5,0,386
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 08:40,21.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 08:50,20.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 09:00,21.3,0,552
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 09:10,20.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 09:20,21.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 09:30,22,0,468
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 09:40,22.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 09:50,22.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 10:00,22.7,0,751
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 10:10,23.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 10:20,23.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 10:30,23.9,0,795
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 10:40,24.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 10:50,24.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 11:00,24.8,0,840
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 11:10,25.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 11:20,26,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 11:30,26.1,0,875
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 11:40,26.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 11:50,26.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 12:00,26.9,0,847
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 12:10,26.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 12:20,27.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 12:30,27.6,0,743
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 12:40,27.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 12:50,27.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 13:00,27.4,0,799
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 13:10,27.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 13:20,27.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 13:30,28,0,588
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 13:40,28.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 13:50,28.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 14:00,28.6,0,969
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 14:10,28.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 14:20,28.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 14:30,28.7,0,818
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 14:40,28.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 14:50,28,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 15:00,28.4,0,413
