station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 08:10,20.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 08:20,20.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 08:30,21,0,560
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 08:40,21.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 08:50,21.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 09:00,22.1,0,654
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 09:10,22.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 09:20,22.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 09:30,23,0,664
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 09:40,22.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 09:50,22.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 10:00,22.9,0,746
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 10:10,23.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 10:20,23.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 10:30,24,0,765
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 10:40,23.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 10:50,24.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 11:00,24.5,0,875
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 11:10,24.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 11:20,24.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 11:30,25,0,932
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 11:40,25.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 11:50,25,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 12:00,25.5,0,778
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 12:10,25.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 12:20,25.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 12:30,26.2,0,797
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 12:40,26,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 12:50,26,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 13:00,26.2,0,868
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 13:10,26.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 13:20,26.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 13:30,26,0,528
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 13:40,26.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 13:50,25.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 14:00,27,0,582
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 14:10,26.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 14:20,26.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 14:30,26.8,0,687
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 14:40,26.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 14:50,25.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 15:00,25.8,0,316
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 15:10,26.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 15:20,26.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 15:30,26,0,466
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 15:40,26.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 15:50,25.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 16:00,26.2,0,363
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 16:10,25.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 16:20,24.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 16:30,24.8,0,112
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 16:40,24.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 16:50,24.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 17:00,24.6,0,70
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 17:10,24.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 17:20,24.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 17:30,24.2,0,56
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 17:40,24,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 17:50,23.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 18:00,23.8,0,28
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 18:10,23.6,,
